"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.431294660E0,1.583569944E-1,5.310200155E-2,-3.001779914E-1
1.436305197E0,1.503800005E-1,-3.772000084E-3,-3.221319914E-1
1.441315918E0,1.960040033E-1,-4.952500015E-2,-3.514629900E-1
1.446326382E0,1.752810031E-1,-4.650900140E-2,-3.284980059E-1
1.451336814E0,1.489109993E-1,-3.749999916E-3,-2.671209872E-1
1.456347351E0,1.218760014E-1,1.058300026E-2,-1.934749931E-1
1.461357804E0,8.682300150E-2,-1.550099999E-2,-9.813900292E-2
1.466368266E0,8.393300325E-2,-5.258600041E-2,-9.144300222E-2
1.471378727E0,8.899100125E-2,-3.583800048E-2,-6.095699966E-2
1.476389418E0,6.981799752E-2,-6.097900122E-2,4.381500185E-2
1.481399958E0,3.798799962E-2,-4.062699899E-2,1.317819953E-1
1.486410415E0,1.333000022E-3,-3.684899956E-2,1.888429970E-1
1.491421105E0,-9.011999704E-3,-1.058510020E-1,2.173289955E-1
1.496431560E0,-8.657500148E-2,-1.466280073E-1,2.719509900E-1
1.501442021E0,-1.114690006E-1,-1.281940043E-1,2.764349878E-1
1.506452538E0,-1.003340036E-1,-1.320639998E-1,2.451879978E-1
1.511463001E0,-8.514600247E-2,-1.180519983E-1,1.731889993E-1
1.516473687E0,-6.127599999E-2,-9.930200130E-2,9.398599714E-2
1.521484150E0,-6.013499945E-2,-9.486699849E-2,2.191700041E-2
1.526494683E0,-1.445799973E-2,-3.856299818E-2,-8.606799692E-2
1.531505146E0,3.272699937E-2,-3.977999836E-2,-2.203299999E-1
1.536515855E0,7.496800274E-2,-5.257900059E-2,-2.757090032E-1
1.541526319E0,9.827800095E-2,-5.610800162E-2,-3.216829896E-1
1.546536795E0,4.677100107E-2,-5.052600056E-2,-3.653570116E-1
1.551547331E0,4.146099836E-2,-9.407400340E-2,-4.567280114E-1
1.556557810E0,2.328499965E-2,-5.249100178E-2,-5.219299793E-1
1.561568500E0,3.339700028E-2,-1.218899991E-2,-5.391029716E-1
1.566578978E0,5.711900070E-2,-3.768600151E-2,-5.011829734E-1
1.571589515E0,1.239529997E-1,6.624999922E-3,-4.084579945E-1
1.576600006E0,1.698299944E-1,4.323000088E-3,-2.369250059E-1
1.581610697E0,2.325890064E-1,-4.090000002E-4,-4.406499863E-2
1.586621141E0,2.900289893E-1,-2.306599915E-2,1.174840033E-1
1.591631603E0,2.738820016E-1,-8.681000210E-3,3.340010047E-1
1.596642139E0,2.165810019E-1,5.193999968E-3,4.789179862E-1
1.601652603E0,1.523369998E-1,-4.377000034E-3,6.528919935E-1
1.606663293E0,8.064299822E-2,-2.898699977E-2,7.385230064E-1
1.611673830E0,-9.570000111E-4,-2.943499945E-2,7.237899899E-1
1.616684291E0,-9.149499983E-2,-1.542599965E-2,6.638309956E-1
1.621694771E0,-1.615319997E-1,-1.179799996E-2,5.084019899E-1
1.626705461E0,-1.958010048E-1,1.450499985E-2,3.508040011E-1
1.631715934E0,-2.069579959E-1,5.055399984E-2,1.383109987E-1
1.636726470E0,-1.910730004E-1,3.440000117E-2,-1.051449999E-1
1.641736939E0,-1.402129978E-1,2.866300009E-2,-2.815789878E-1
1.646747400E0,-7.698599994E-2,1.977699995E-2,-3.911330104E-1
1.651757867E0,-2.931500040E-2,1.390799973E-2,-4.602519870E-1
1.656768557E0,-3.351999912E-3,-1.010700036E-2,-4.194949865E-1
1.661779098E0,1.753200032E-2,2.120400034E-2,-3.670040071E-1
1.666789559E0,3.658400103E-2,4.311899841E-2,-3.217490017E-1
1.671800249E0,6.681299955E-2,2.440599911E-2,-1.591939926E-1
1.676810713E0,4.269199818E-2,4.414000083E-3,-5.424699932E-2
1.681821170E0,1.013700012E-2,6.041999906E-3,1.242300030E-2
1.686831706E0,-2.038500085E-2,2.624999965E-3,8.880800009E-2
1.691842170E0,-7.316300273E-2,3.969000187E-3,1.916420013E-1
1.696852855E0,-1.179080009E-1,3.034500033E-2,2.396059930E-1
1.701863318E0,-1.012030020E-1,-1.615799963E-2,2.183579952E-1
1.706873771E0,-1.112290025E-1,-1.469099987E-2,8.449800313E-2
1.711884307E0,-1.355929971E-1,4.860000219E-3,8.217999712E-3
1.716894991E0,-1.835380048E-1,1.755999960E-2,-1.761800051E-2
1.721905454E0,-1.819009930E-1,-4.201999865E-3,-6.002499908E-2
1.726915916E0,-1.731379926E-1,-1.662299968E-2,-7.612799853E-2
1.731926452E0,-1.699389964E-1,-2.032100037E-2,-7.790800184E-2
1.736936916E0,-1.485739946E-1,-5.681300163E-2,-9.408300370E-2
1.741947377E0,-1.947560012E-1,-7.730299979E-2,-5.540300161E-2
1.746958039E0,-2.023849934E-1,-4.025100172E-2,-2.144899964E-2
1.751968579E0,-2.232930064E-1,-4.847899824E-2,4.606499895E-2
1.756979060E0,-1.967010051E-1,-4.090499878E-2,1.662220061E-1
1.761989750E0,-1.242199987E-1,-5.053199828E-2,2.646639943E-1
1.767000210E0,-9.027600288E-2,-5.994899943E-2,2.909390032E-1
1.772010671E0,1.722300053E-2,-7.701999694E-2,2.811720073E-1
1.777021208E0,8.045300096E-2,-1.011539996E-1,2.518649995E-1
1.782031647E0,9.617500007E-2,-6.223199889E-2,2.223519981E-1
1.787042338E0,1.349530071E-1,-5.367900059E-2,1.785559952E-1
1.792052796E0,1.357699931E-1,-4.910200089E-2,1.275479943E-1
1.797063258E0,1.257530004E-1,-1.673199981E-2,1.724040061E-1
1.802073789E0,1.195399985E-1,1.719399914E-2,1.743170023E-1
1.807084253E0,8.348000050E-2,2.133999951E-2,1.572239995E-1
1.812094924E0,-2.255999949E-3,1.045699976E-2,1.259090006E-1
1.817105464E0,-8.566199988E-2,-2.358000027E-3,1.211879998E-1
